TN;VN;TP;VP
20;2.20;20;161.97
21;2.17;21;154.59
22;2.07;22;147.30
23;2.03;23;141.31
24;1.95;24;134.21
25;1.89;25;127.88
26;1.84;26;120.63
27;1.76;27;117.47
28;1.71;28;111.55
29;1.63;29;105.33
30;1.60;30;101.45
31;1.56;31;96.21
32;1.49;32;93.43
33;1.45;33;88.46
34;1.41;34;84.50
35;1.39;35;80.42
36;1.31;36;77.68
37;1.29;37;75.24
38;1.27;38;70.97
39;1.22;39;67.88
40;1.17;40;65.45
41;1.17;41;63.05
42;1.13;42;59.46
43;1.07;43;57.34
44;1.05;44;54.38
45;1.03;45;53.32
46;1.02;46;50.80
47;0.94;47;47.96
48;0.94;48;46.17
49;0.92;49;45.36
50;0.89;50;43.53
51;0.86;51;42.06
52;0.82;52;40.03
53;0.82;53;38.59
54;0.78;54;36.31
55;0.78;55;34.92
56;0.75;56;33.91
57;0.72;57;33.53
58;0.74;58;32.29
59;0.72;59;30.23
60;0.66;60;28.94
61;0.66;61;27.49
62;0.65;62;27.49
63;0.63;63;26.35
64;0.61;64;25.38
65;0.60;65;24.88
66;0.56;66;23.50
67;0.59;67;22.91
68;0.57;68;23.03
69;0.54;69;20.94
70;0.55;70;19.79
71;0.52;71;19.25
72;0.50;72;18.80
73;0.51;73;18.82
74;0.48;74;17.24
75;0.45;75;16.27
76;0.46;76;15.78
77;0.46;77;16.25
78;0.43;78;15.19
79;0.45;79;15.31
80;0.40;80;15.04
81;0.43;81;14.90
82;0.39;82;13.79
83;0.39;83;13.28
84;0.37;84;11.71
85;0.39;85;12.82
86;0.36;86;12.38
87;0.34;87;11.86
88;0.34;88;11.37
89;0.32;89;10.18
90;0.35;90;10.36
91;0.31;91;9.75
92;0.31;92;9.50
93;0.29;93;8.52
94;0.28;94;9.01
95;0.31;95;7.99
96;0.30;96;8.42
97;0.28;97;8.38
98;0.28;98;8.52
99;0.25;99;8.06
100;0.27;100;6.87
101;0.27;101;7.78
102;0.26;102;6.94
103;0.24;103;7.19
104;0.24;104;7.28
105;0.24;105;5.67
106;0.25;106;6.53
107;0.23;107;7.52
108;0.23;108;5.60
109;0.23;109;6.23
110;0.20;110;6.62
111;0.21;111;4.74
112;0.19;112;4.40
113;0.22;113;4.25
114;0.20;114;5.29
115;0.21;115;4.82
116;0.17;116;4.88
117;0.18;117;3.91
118;0.18;118;4.76
119;0.18;119;5.16
120;0.15;120;4.45
121;0.16;121;4.11
122;0.19;122;3.98
123;0.16;123;4.63
124;0.18;124;3.55
125;0.14;125;2.45
126;0.18;126;4.21
127;0.16;127;2.71
128;0.15;128;3.14
129;0.16;129;2.98
130;0.16;130;4.24
131;0.16;131;4.51
132;0.13;132;3.22
133;0.16;133;2.66
134;0.13;134;3.79
135;0.11;135;4.05
136;0.12;136;1.79
137;0.14;137;3.35
138;0.13;138;3.50
139;0.12;139;1.87
140;0.15;140;3.29
141;0.14;141;2.10
142;0.12;142;2.53
143;0.11;143;1.88
144;0.12;144;1.31
145;0.11;145;2.80
146;0.11;146;1.73
147;0.11;147;2.31
148;0.09;148;1.63
149;0.11;149;1.69
150;0.09;150;1.06
