x(mm);doble 1;doble 2;doble 3;doble 4;doble 5;doble 6;izquierda 1;izquierda 2;izquierda 3;izquierda 4;izquierda 5;izquierda 6;derecha 1;derecha 2;derecha 3;derecha 4;derecha 5;derecha 6
0.00;2;0;4;2;2;0;4;2;6;6;2;2;0;0;0;0;0;0
0.01;2;0;2;2;0;2;2;2;2;6;0;6;0;0;0;0;0;0
0.02;4;2;0;0;4;4;4;6;2;2;6;0;0;0;0;0;0;0
0.03;2;0;6;2;6;2;6;4;6;6;2;2;0;0;0;0;0;0
0.04;6;4;2;4;4;4;0;4;0;2;2;2;0;0;0;0;0;0
0.05;0;4;2;4;6;4;8;0;6;4;2;4;0;0;0;0;0;0
0.06;6;6;4;2;4;2;8;2;4;10;4;4;0;0;0;0;0;0
0.07;4;6;6;4;4;6;2;8;6;6;4;4;0;0;0;0;0;0
0.08;6;6;8;2;8;6;10;2;2;0;6;4;0;0;0;0;0;0
0.09;8;6;6;2;6;10;6;2;0;8;4;2;0;0;0;0;0;0
0.10;2;8;4;8;2;6;0;6;0;2;4;6;0;0;0;0;0;0
0.11;8;0;6;4;6;4;8;4;6;8;2;6;0;0;0;0;0;0
0.12;6;0;4;2;4;2;6;6;6;10;6;4;0;0;0;0;0;0
0.13;4;2;6;8;12;6;0;2;8;6;6;8;0;0;0;0;0;0
0.14;10;12;6;12;8;8;8;6;2;4;2;6;0;0;0;0;0;0
0.15;8;8;10;4;4;10;10;6;4;6;6;8;0;0;0;0;0;0
0.16;8;8;4;4;12;6;6;10;4;4;2;14;0;0;0;0;0;0
0.17;4;8;6;14;10;0;8;10;10;4;4;6;0;0;0;0;0;0
0.18;8;6;14;12;8;6;8;6;8;8;6;2;0;0;0;0;0;0
0.19;4;6;6;10;8;0;10;6;12;0;8;8;0;0;0;0;0;0
0.20;4;10;4;0;4;10;6;6;6;8;8;12;0;0;0;0;0;0
0.21;10;14;4;14;6;8;4;6;10;4;12;2;0;0;0;0;0;0
0.22;4;10;4;6;6;8;6;4;12;14;6;10;0;0;0;0;0;0
0.23;6;12;8;12;2;10;10;10;10;10;0;6;0;0;0;0;0;0
0.24;4;6;6;0;4;12;4;4;12;6;6;4;0;0;0;0;0;0
0.25;6;6;8;2;10;14;16;12;2;2;10;12;0;0;0;0;0;0
0.26;8;10;6;12;8;16;8;8;10;10;6;12;0;0;0;0;0;0
0.27;8;2;10;2;14;8;12;10;6;10;12;8;0;0;0;0;0;0
0.28;12;12;6;6;8;10;16;8;8;6;8;0;0;0;0;0;0;0
0.29;14;8;10;12;16;10;4;10;12;8;4;10;0;0;0;0;0;0
0.30;10;6;6;2;6;8;14;6;6;12;4;6;0;0;0;0;0;0
0.31;2;6;10;8;6;10;14;18;10;12;6;8;0;0;0;0;0;0
0.32;8;12;2;8;4;16;10;8;12;16;8;8;0;0;0;0;0;0
0.33;12;6;6;12;10;6;16;4;12;10;12;16;0;0;0;0;0;0
0.34;16;10;6;16;12;8;6;10;10;18;18;12;0;0;0;0;0;0
0.35;8;10;8;10;4;14;6;12;12;6;8;12;0;0;0;0;0;0
0.36;16;8;10;8;4;16;16;10;16;10;2;14;0;0;0;0;0;0
0.37;8;8;4;8;10;16;4;18;14;10;12;8;0;0;0;0;0;0
0.38;14;12;10;16;8;12;12;18;14;8;14;6;0;0;0;0;0;0
0.39;8;10;20;6;12;14;12;14;14;20;16;16;0;0;0;0;0;0
0.40;12;14;10;8;16;6;20;8;10;14;12;12;0;0;0;0;0;0
0.41;16;8;14;22;8;8;12;20;12;20;20;12;0;0;0;0;0;0
0.42;12;14;12;10;16;10;18;14;20;14;12;10;0;0;0;0;0;0
0.43;18;14;14;14;16;14;12;12;12;12;20;14;0;0;0;0;0;0
0.44;14;20;12;14;14;6;10;24;14;12;8;22;0;0;0;0;0;0
0.45;8;20;12;10;20;16;12;14;18;18;16;18;0;0;0;0;0;0
0.46;14;20;16;6;12;16;24;22;16;12;10;20;0;0;0;0;0;0
0.47;6;22;16;18;16;18;18;16;14;20;6;12;0;0;0;0;0;0
0.48;14;22;18;22;24;12;12;8;18;22;12;10;0;0;0;0;0;0
0.49;16;18;26;18;20;16;12;18;14;14;12;16;0;0;0;0;0;0
0.50;22;16;18;18;22;26;16;24;12;16;16;26;0;0;0;0;0;0
0.51;22;22;26;16;14;18;8;12;8;14;24;18;0;0;0;0;0;0
0.52;20;20;24;16;20;16;18;18;18;16;26;16;0;0;0;0;0;0
0.53;22;28;24;34;22;24;18;20;20;22;20;12;0;0;0;0;0;0
0.54;22;26;24;28;14;30;12;16;18;22;18;20;0;0;0;0;0;0
0.55;30;16;14;20;34;36;18;26;14;24;26;22;0;0;0;2;0;2
0.56;22;24;26;26;34;20;24;14;14;18;24;16;2;2;4;0;0;2
0.57;16;28;28;16;24;36;14;14;10;20;12;28;0;2;0;2;2;4
0.58;22;40;28;28;30;28;18;14;16;22;20;14;0;2;0;2;2;2
0.59;38;26;32;28;24;26;26;18;28;18;22;18;0;0;0;4;0;0
0.60;30;34;24;34;40;32;14;20;24;18;10;18;0;2;2;2;2;0
0.61;22;34;46;30;34;32;28;12;26;30;14;16;0;2;2;2;0;2
0.62;26;42;32;38;38;32;12;22;14;12;16;22;0;2;2;2;2;2
0.63;46;24;38;28;30;32;18;26;16;22;30;10;2;4;0;2;0;2
0.64;32;42;28;24;36;44;22;26;14;20;18;16;2;0;2;2;0;0
0.65;22;22;28;28;36;38;22;26;22;34;14;20;0;0;0;0;0;0
0.66;50;36;38;48;40;44;24;22;22;20;18;24;0;2;2;2;2;0
0.67;50;28;30;44;50;38;24;30;24;18;22;18;2;2;0;2;0;4
0.68;34;52;30;40;56;28;18;28;22;36;36;28;2;2;0;2;2;0
0.69;46;40;42;42;36;32;28;12;24;28;26;24;2;0;0;0;2;0
0.70;34;26;48;52;50;36;22;16;38;24;24;16;2;2;4;2;2;0
0.71;44;30;28;46;30;44;20;28;22;24;26;22;4;2;2;0;0;2
0.72;52;46;38;40;38;54;34;26;26;18;16;22;2;0;0;2;0;0
0.73;42;40;38;32;54;38;16;24;36;22;20;26;4;0;0;0;0;2
0.74;28;50;48;58;52;54;30;28;24;26;20;34;6;6;6;8;2;2
0.75;50;44;46;44;52;46;16;26;18;30;14;32;0;2;4;2;2;2
0.76;46;38;36;32;46;38;28;34;28;28;20;36;6;6;6;4;4;6
0.77;46;48;62;38;58;48;26;26;36;42;22;18;4;4;4;4;6;4
0.78;48;48;44;44;60;52;26;18;32;32;26;24;6;2;0;6;2;0
0.79;48;46;48;42;48;42;32;34;24;30;34;28;4;6;2;8;6;0
0.80;38;46;40;44;42;28;32;22;28;26;38;28;2;4;4;0;0;6
0.81;46;46;48;46;52;48;28;20;40;20;42;34;4;0;2;2;4;0
0.82;44;46;42;48;34;32;20;34;32;20;28;30;2;2;4;4;2;2
0.83;44;32;32;32;38;50;40;36;22;26;22;18;2;2;4;0;2;4
0.84;46;36;32;30;36;46;38;20;30;26;40;26;6;2;2;0;2;2
0.85;32;42;38;40;42;44;42;26;42;30;40;28;2;2;4;2;4;2
0.86;32;48;36;34;36;44;20;24;30;30;26;34;2;0;8;2;6;4
