-30;-1.065;-1.066;-1.067;-1.069;-1.070;-1.072;-1.073;-1.076;-1.079;-1.083
-27;-0.959;-0.960;-0.960;-0.962;-0.963;-0.964;-0.966;-0.968;-0.971;-0.975
-24;-0.852;-0.853;-0.853;-0.855;-0.856;-0.858;-0.859;-0.860;-0.863;-0.867
-21;-0.746;-0.746;-0.747;-0.748;-0.749;-0.750;-0.751;-0.753;-0.755;-0.758
-18;-0.639;-0.640;-0.640;-0.641;-0.642;-0.643;-0.644;-0.645;-0.647;-0.650
-15;-0.533;-0.533;-0.534;-0.534;-0.535;-0.536;-0.537;-0.538;-0.539;-0.541
-12;-0.426;-0.427;-0.427;-0.428;-0.428;-0.429;-0.430;-0.430;-0.432;-0.433
-9;-0.320;-0.320;-0.320;-0.321;-0.321;-0.322;-0.322;-0.323;-0.324;-0.325
-6;-0.213;-0.213;-0.214;-0.214;-0.214;-0.214;-0.215;-0.215;-0.216;-0.217
-3;-0.107;-0.107;-0.107;-0.107;-0.107;-0.107;-0.107;-0.108;-0.108;-0.108
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
3;0.107;0.107;0.107;0.107;0.107;0.107;0.107;0.108;0.108;0.108
6;0.213;0.213;0.213;0.214;0.214;0.214;0.215;0.215;0.216;0.217
9;0.320;0.320;0.320;0.321;0.321;0.322;0.322;0.323;0.324;0.325
12;0.426;0.426;0.427;0.428;0.428;0.429;0.430;0.430;0.432;0.433
15;0.533;0.533;0.534;0.534;0.535;0.536;0.537;0.538;0.539;0.541
18;0.639;0.640;0.640;0.641;0.642;0.643;0.644;0.645;0.647;0.650
21;0.746;0.746;0.747;0.749;0.749;0.750;0.752;0.753;0.755;0.758
24;0.852;0.853;0.854;0.855;0.856;0.857;0.859;0.860;0.863;0.866
27;0.959;0.959;0.960;0.962;0.963;0.965;0.967;0.968;0.971;0.975
30;1.066;1.066;1.067;1.069;1.070;1.071;1.074;1.076;1.079;1.083
